iter	MultiClass
0	1.005571357
1	0.9099791848
2	0.8313758657
3	0.769152209
4	0.7066356802
5	0.6553660587
6	0.6123091572
7	0.5750204065
8	0.5391117849
9	0.5023647063
10	0.4731354018
11	0.4435530111
12	0.4168041117
13	0.3967332245
14	0.3754685227
15	0.357797705
16	0.3381960948
17	0.3224687601
18	0.3084183323
19	0.2927166292
20	0.2779795614
21	0.2648187316
22	0.255672654
23	0.2458161497
24	0.2377973929
25	0.2299592031
26	0.2211775011
27	0.2107615561
28	0.2029538107
29	0.1960167539
30	0.1896297148
31	0.181267927
32	0.176700223
33	0.1725000683
34	0.1678728117
35	0.1605234992
36	0.1561883791
37	0.1517150309
38	0.146520465
39	0.1432161703
40	0.1393600475
41	0.1364268304
42	0.1334275228
43	0.1299173071
44	0.1270003468
45	0.1237104133
46	0.1207222456
47	0.1173126122
48	0.1148290521
49	0.113053743
50	0.1108332362
51	0.1078157207
52	0.1053334309
53	0.1028140588
54	0.100156624
55	0.09779954948
56	0.0960980593
57	0.09409902989
58	0.09215097335
59	0.09039530961
60	0.08849633551
61	0.08635506098
62	0.08461501023
63	0.08315044312
64	0.08119687377
65	0.07920746184
66	0.07797036392
67	0.07655778955
68	0.07525733834
69	0.0736246716
70	0.07204766788
71	0.07075484686
72	0.06933702375
73	0.06838211111
74	0.06732877565
75	0.06609096713
76	0.06504256341
77	0.06403836853
78	0.06302990996
79	0.06184993774
80	0.06094646597
81	0.05981257784
82	0.05917179781
83	0.05855308388
84	0.05758402998
85	0.05682234608
86	0.05611372063
87	0.05552183086
88	0.05464664294
89	0.05382524626
90	0.0532381663
91	0.05261466369
92	0.05175573052
93	0.0510871001
94	0.05046495851
95	0.04983067168
96	0.04904459033
97	0.04824894394
98	0.04771446224
99	0.04721242327
100	0.04657015162
101	0.0461418776
102	0.04562938268
103	0.04495827618
104	0.04439108222
105	0.043814741
106	0.04336403672
107	0.04296203713
108	0.04262613075
109	0.04222670455
110	0.04170264635
111	0.04133353174
112	0.0408351966
113	0.04039853187
114	0.04005308572
115	0.03966068661
116	0.03927848733
117	0.03877539882
118	0.0383012258
119	0.03786074658
120	0.03747159295
121	0.03715623717
122	0.036748197
123	0.03642846583
124	0.03613159204
125	0.03565807264
126	0.03539958813
127	0.03513128472
128	0.03484954666
129	0.03453997269
130	0.03425367256
131	0.03386524122
132	0.03356374238
133	0.03314282826
134	0.03281508562
135	0.03243503567
136	0.03211442114
137	0.0318605642
138	0.03160675631
139	0.03140264034
140	0.03112549678
141	0.03093014579
142	0.03071318367
143	0.03053941824
144	0.03025854017
145	0.02999541737
146	0.02969202792
147	0.029449146
148	0.02924841887
149	0.02905111073
150	0.02887387916
151	0.0286370053
152	0.02834305035
153	0.0281506666
154	0.0279567961
155	0.0277660496
156	0.02751878077
157	0.02731218112
158	0.027118919
159	0.02698037541
160	0.02672980323
161	0.02659713364
162	0.02641678689
163	0.02626580109
164	0.02608933351
165	0.0259196466
166	0.02567777328
167	0.02545120201
168	0.02525568199
169	0.02505505815
170	0.02488665963
171	0.02470521886
172	0.02456736055
173	0.02437962985
174	0.02416422072
175	0.02399699819
176	0.02385654385
177	0.02368088
178	0.02352499276
179	0.02337469476
180	0.02326283508
181	0.02311853383
182	0.02294648673
183	0.02278212004
184	0.02259345056
185	0.02245007248
186	0.02234189151
187	0.02218483147
188	0.022076148
189	0.02195511522
190	0.02181733164
191	0.0216997666
192	0.02158184606
193	0.02146007838
194	0.0213500336
195	0.02126869601
196	0.02110982371
197	0.02095071966
198	0.02083332563
199	0.02068205495
200	0.0205316119
201	0.02039254694
202	0.02027079993
203	0.02015185976
204	0.02004290623
205	0.01995875205
206	0.01985879851
207	0.01971700358
208	0.01961380296
209	0.01947685655
210	0.01939496916
211	0.01925995735
212	0.01916771452
213	0.01908515283
214	0.0189921547
215	0.01888711382
216	0.01880494994
217	0.01871922154
218	0.0186407412
219	0.01856763027
220	0.01848132381
221	0.01838640398
222	0.01826014588
223	0.01816325707
224	0.01803077096
225	0.01796341854
226	0.01786002948
227	0.01776098778
228	0.01767617079
229	0.0176006355
230	0.0175135936
231	0.01740558523
232	0.01730846541
233	0.01722145903
234	0.01711961621
235	0.01704959093
236	0.01697553907
237	0.0169062879
238	0.01679560251
239	0.0166848884
240	0.01660691325
241	0.01653328381
242	0.01647808439
243	0.01641749053
244	0.01634549696
245	0.01626988903
246	0.01619895965
247	0.01611150915
248	0.01604743978
249	0.01599050078
250	0.01592998978
251	0.0158445193
252	0.01574931607
253	0.01566988098
254	0.01558141354
255	0.01549812061
256	0.01544115064
257	0.01536510065
258	0.01530339945
259	0.01521316539
260	0.01515667956
261	0.01509799471
262	0.01502586638
263	0.01495110873
264	0.01487336299
265	0.01481595308
