iter	Passed	Remaining
0	0	5665
1	1	4931
2	1	4713
3	2	4886
4	2	4882
5	3	5047
6	4	5226
7	5	5382
8	6	5673
9	7	5810
10	7	5798
11	8	5847
12	9	5832
13	10	6021
14	11	6048
15	11	5982
16	12	5890
17	12	5824
18	13	5785
19	14	5761
20	14	5766
21	15	5760
22	15	5669
23	16	5605
24	17	5619
25	18	5691
26	18	5684
27	19	5716
28	20	5729
29	21	5748
30	21	5761
31	22	5803
32	23	5774
33	24	5777
34	24	5758
35	25	5748
36	26	5740
37	26	5698
38	27	5706
39	27	5689
40	28	5667
41	29	5678
42	29	5681
43	30	5673
44	31	5679
45	32	5692
46	32	5675
47	33	5688
48	34	5691
49	34	5673
50	35	5700
51	36	5748
52	37	5730
53	38	5728
54	38	5723
55	39	5715
56	40	5770
57	41	5793
58	41	5778
59	42	5791
60	43	5823
61	44	5843
62	45	5873
63	46	5906
64	47	5932
65	48	5958
66	49	5963
67	50	5976
68	50	5980
69	51	5980
70	52	5979
71	52	5971
72	53	5971
73	54	5963
74	55	5961
75	55	5961
76	56	5970
77	57	5976
78	58	6010
79	59	6007
80	59	6001
81	60	6014
82	61	6023
83	62	6016
84	63	6018
85	63	6014
86	64	6003
87	65	5990
88	65	5989
89	66	5997
90	67	5995
91	68	5994
92	69	6009
93	69	5999
94	70	5994
95	71	6008
96	71	6002
97	72	5995
98	73	5988
99	74	5988
100	74	5986
101	75	5991
102	76	5983
103	76	5974
104	77	5971
105	78	5970
106	78	5964
107	80	6021
108	81	6014
109	81	6009
110	82	6024
111	83	6034
112	84	6034
113	85	6030
114	85	6029
115	86	6039
116	87	6048
117	88	6042
118	89	6041
119	90	6059
120	90	6049
121	91	6033
122	91	6030
123	92	6025
124	93	6019
125	93	6014
126	94	6008
127	95	5999
128	95	5999
129	96	5997
130	97	5999
131	98	5998
132	98	5991
133	99	5984
134	100	5983
135	100	5971
136	101	5986
137	102	5995
138	103	5988
139	103	5976
140	104	5963
141	105	5960
142	106	5969
143	106	5978
144	107	5982
145	108	5976
146	109	5986
147	110	5984
148	110	5990
149	111	5996
150	112	5998
151	113	6003
152	114	6003
153	114	6002
154	115	6003
155	116	6000
156	117	5995
157	117	5992
158	119	6013
159	119	6016
160	120	6021
161	121	6022
162	122	6017
163	122	6005
164	123	6000
165	123	5992
166	124	5984
167	125	5986
168	125	5978
169	126	5984
170	127	5978
171	128	5976
172	128	5968
173	129	5959
174	129	5951
175	130	5944
176	131	5935
177	131	5925
178	132	5915
179	132	5910
180	133	5903
181	134	5910
182	135	5911
183	135	5907
184	136	5902
185	136	5895
186	137	5895
187	138	5896
188	139	5893
189	139	5891
190	140	5884
191	141	5878
192	141	5873
193	142	5876
194	143	5872
195	143	5867
196	144	5863
197	145	5865
198	145	5862
199	146	5861
200	147	5859
201	147	5852
202	148	5853
203	153	6020
204	154	6011
205	154	6005
206	155	6004
207	156	6001
208	157	5999
209	157	5997
210	158	5998
211	159	5992
212	159	5990
213	160	5998
214	161	5995
215	162	5997
216	162	5988
217	163	5991
218	167	6094
219	168	6091
220	168	6089
221	169	6087
222	170	6087
223	171	6093
224	172	6092
225	172	6094
226	173	6101
227	174	6110
228	175	6104
229	177	6139
230	178	6139
231	178	6132
232	179	6131
233	180	6132
234	181	6134
235	181	6133
236	182	6136
237	183	6133
238	184	6132
239	184	6126
240	185	6120
241	186	6119
242	186	6112
243	187	6103
244	188	6103
245	188	6096
246	189	6090
247	190	6091
248	190	6087
249	191	6083
250	192	6082
251	192	6079
252	193	6078
253	194	6076
254	195	6074
255	195	6069
256	196	6063
257	197	6059
258	197	6056
259	198	6051
260	199	6047
261	199	6051
262	200	6047
263	201	6043
264	202	6058
265	203	6055
266	203	6052
267	204	6047
268	205	6041
269	205	6034
270	206	6036
271	207	6033
272	207	6028
273	208	6036
274	209	6035
275	210	6028
276	210	6026
277	211	6021
278	212	6017
279	212	6017
280	213	6018
281	214	6015
282	215	6020
283	216	6018
284	216	6018
285	217	6017
286	218	6012
287	219	6014
288	219	6013
289	220	6009
290	221	6012
291	222	6012
292	222	6008
293	223	6009
294	224	6009
295	225	6004
296	226	6011
297	226	6012
298	227	6009
299	228	6008
300	229	6003
301	229	5998
302	230	6002
303	231	5998
304	231	5994
305	232	5992
306	233	5988
307	233	5989
308	234	5994
309	235	5995
310	236	5991
311	237	5993
312	238	5997
313	238	5994
314	239	5996
315	240	5994
316	241	5993
317	242	5994
318	242	5989
319	243	5989
320	244	5991
321	244	5987
322	245	5986
323	246	5986
324	247	5988
325	248	5991
326	249	5992
327	250	5995
328	250	5993
329	251	5996
330	252	6006
331	253	6007
332	254	6007
333	255	6007
334	256	6005
335	256	6006
336	257	6005
337	258	6005
338	259	6003
339	259	6001
340	260	5998
341	261	6000
342	262	6000
343	262	5998
344	263	5996
345	264	5995
346	265	5997
347	265	5994
348	266	5993
349	267	5994
350	268	5995
351	269	5999
352	270	6006
353	271	6012
354	272	6021
355	273	6022
356	274	6024
357	275	6024
358	276	6026
359	277	6031
360	278	6031
361	278	6030
362	279	6030
363	280	6028
364	281	6026
365	281	6028
366	282	6030
367	283	6027
368	284	6028
369	284	6024
370	285	6021
371	286	6017
372	287	6017
373	288	6021
374	288	6015
375	289	6013
376	289	6009
377	290	6005
378	291	6002
379	291	6000
380	292	6000
381	293	6003
382	294	6006
383	295	6002
384	295	6001
385	296	5998
386	297	5999
387	298	5998
388	299	5998
389	299	6001
390	300	6000
391	301	6003
392	302	6006
393	303	6007
394	304	6009
395	305	6006
396	305	6005
397	306	6006
398	307	6005
399	308	6005
400	309	6007
401	310	6008
402	310	6004
403	311	6000
404	312	5998
405	312	5997
406	313	5996
407	314	5996
408	315	5997
409	315	5995
410	316	5995
411	317	5994
412	318	5994
413	319	5995
414	319	5992
415	320	5989
416	321	5986
417	321	5986
418	322	5988
419	323	5988
420	324	5984
421	324	5983
422	325	5980
423	326	5976
424	326	5975
425	327	5970
426	328	5969
427	329	5968
428	329	5964
429	330	5961
430	330	5959
431	331	5957
432	332	5960
433	333	5958
434	334	5956
435	334	5955
436	335	5953
437	336	5950
438	336	5949
439	337	5948
440	338	5945
441	338	5943
442	339	5944
443	340	5941
444	341	5940
445	342	5940
446	342	5936
447	343	5937
448	344	5938
449	345	5936
450	345	5934
451	346	5931
452	347	5933
453	347	5930
454	348	5928
455	349	5930
456	350	5929
457	350	5927
458	351	5925
459	352	5927
460	353	5925
461	354	5924
462	354	5925
463	355	5922
464	356	5922
465	357	5923
466	357	5919
467	358	5915
468	359	5917
469	360	5917
470	361	5917
471	361	5917
472	362	5917
473	363	5917
474	364	5915
475	364	5914
476	365	5911
477	366	5907
478	366	5904
479	367	5904
480	368	5901
481	368	5898
482	369	5895
483	370	5896
484	370	5895
485	372	5898
486	372	5899
487	373	5897
488	374	5895
489	374	5893
490	375	5891
491	376	5888
